site,url,category,flow_type,entry_point_cta,step_urls,field_sequence_visible,required_fields,optional_fields,answer_options,validation_rules,asks_rut,asks_phone,asks_email,contact_timing,consent_visible,captcha_or_login,visible_outcome_or_guidance,visible_thresholds_rules,submission_risk,stop_point,evidence_quality,confidence,scoreleads_actionability,notes
"Banco Bci Crédito Hipotecario","https://www.bci.cl/personas/credito-hipotecario","bank","product page / simulator CTA","Simular; Crédito Hipotecario","https://www.bci.cl/personas/credito-hipotecario","Product page did not reliably render in browser; simulator route observed separately","not reliably observed","not reliably observed","not reliably observed","not reliably observed","not observed","not observed","not observed","unknown","unknown","partial render","Product/product metadata suggests mortgage financing and simulator","Public references say financing up to 90%; not verified in page body during this run","No submission attempted","Stopped due render failure on product URL","partial_due_rendering","low","no_action","Do not infer hidden rules from unavailable product page."
"Banco Bci Simulador","https://www.bci.cl/personas/credito-hipotecario/simulador","bank","simulator / contact gate","Simulador de Crédito Hipotecario","https://www.bci.cl/personas/credito-hipotecario/simulador","Observed fields: Nombre -> Apellido -> RUT -> Correo electrónico; page state also showed Banco en línea/login and account cards, no property calculator fields reliably visible","Name, last name, RUT, email marked required in observed form","none observed","not observed","RUT/contact required before any calculator outcome in observed DOM","yes, early","not observed in captured fields","yes, early","early","not observed","login panel visible separately","No mortgage estimate captured before contact fields","No visible thresholds captured in simulator DOM","Submitting would transmit identity/contact","Stopped before personal data","observed_directly; stopped_due_contact_data","medium","avoid","Bank-style contact-first simulator; not a model for ScoreLeads acquisition UX."
"Itaú Crédito Hipotecario","https://www.itau.cl/personas/creditos/credito-hipotecario","bank","product page + TOCTOC alliance","Simular crédito hipotecario; Buscar propiedades","https://www.itau.cl/personas/creditos/credito-hipotecario -> TOCTOC alliance","Product page copy: choose property -> request approval online -> upload/accredit income -> notifications -> advisor support","none on product page before CTA","FAQ buttons for co-applicant, foreign person, minimum pie","FAQ options are collapsed buttons; not all opened","No form validation on product page","no before CTA","no before CTA","no before CTA","after CTA / TOCTOC flow","not observed","none before CTA","Explains online approval, document upload, income validation, status notifications, advisor","Term 5-30 years in public copy; FOGAES/subsidio for new homes up to 4000 UF; benefits in projects up to 4000 UF","CTA routes to simulation/preapproval","Stopped before external preapproval beyond TOCTOC public calculator","observed_directly; inferred_from_public_copy","medium","add_to_recommendations","Reinforces document/income validation as later step, not in ScoreLeads pre-score."
"Scotiabank Crédito Hipotecario","https://www.scotiabankchile.cl/credito-hipotecario","bank","product page / simulate and pre-approve","Simula y pre aprueba online","https://www.scotiabankchile.cl/credito-hipotecario","Browser sweep did not reliably expose fields; title/copy indicates online simulation and pre-approval","not observed","not observed","not observed","not observed","not observed","not observed","not observed","unknown","not observed","partial render","No reliable field data captured","No reliable threshold captured","No submission attempted","Stopped due low accessible/rendered content","partial_due_rendering","low","no_action","Revisit manually if exact simulator becomes available."
"BancoEstado Crédito Hipotecario","https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/productos-/creditos/creditos-hipotecarios.html","bank","product page + portal/simulator","Simular; Enlace Inmobiliario","https://www.bancoestado.cl/.../creditos-hipotecarios.html -> https://bancoestado.enlaceinmobiliario.cl/ -> https://casaverso.cl/simulador","Product page lists mortgage characteristics; portal/simulator handled in Casaverso row","none on product page","not observed","not observed","not observed","not observed on product page","not observed on product page","not observed on product page","after CTA","not observed","none observed on product page","Guidance: financing, term, grace, no-payment months, complement rent, preferential rate with account/PAC","Financing up to 90%; terms 8/12/15/20/25/30; up to 6 months grace; up to 2 no-payment months per year from year 2; complement rent with family or non-family","CTA could route to simulator/lead","Stopped at public product/portal simulator; no bank application submitted","observed_directly; inferred_from_public_copy","medium","add_to_recommendations","BankEstado/Casaverso is high-signal for FOGAES/subsidy and complement rent."
"Banco de Chile product","https://sitiospublicos.bancochile.cl/personas/credito-hipotecario","bank","product page + simulator link","SIMULAR CRÉDITO","https://sitiospublicos.bancochile.cl/personas/credito-hipotecario","Public product page: simulate/request commercial evaluation -> collect/sign docs -> title study -> notary -> CBR inscription -> payment","none on product page before simulator","none observed","not observed","not observed","no on product page","no on product page","no on product page","after simulator/request","not on product page","none observed","Process guidance and commercial evaluation steps","No product-page threshold captured","Simulator/request would become bank lead","Stopped before simulator submission","observed_directly","medium","add_to_recommendations","Useful process language, limited scoring fields."
"Banco de Chile simulator","https://appspublicas.bancochile.cl/persona/simulador-hipotecario/","bank","4-step mortgage simulator with identity gate","Simulador Hipotecario","https://appspublicas.bancochile.cl/persona/simulador-hipotecario/","Step 1 visible: RUT -> name and surname -> property data type/condition/region; reCAPTCHA visible","RUT; name; property type; property condition; region in first step","not observed before gate","Property type likely house/apartment; condition and region selectors visible but not completed","reCAPTCHA blocks normal continuation; no personal data entered","yes, early","not observed","not observed in first visible fields","early","reCAPTCHA terms visible","reCAPTCHA","No result before identity and CAPTCHA","Copy says simulation is not approval and subject to policies","Continuing would transmit RUT/personal data and require CAPTCHA","Stopped at first step before RUT/CAPTCHA","observed_directly; stopped_due_captcha_or_login; stopped_due_contact_data","medium","avoid","Clear anti-pattern for ScoreLeads: RUT before value."
"Banco Falabella Hipotecario","https://www.bancofalabella.cl/creditos/hipotecario","bank","product page / simulator CTA","Simula tu Crédito; Conoce más FOGAES","https://www.bancofalabella.cl/creditos/hipotecario","Product page requirements and simulator CTA; no calculator fields observed before CTA","none on product page","not observed","not observed","not observed","not before CTA","not before CTA","not before CTA","after simulator CTA","not observed","none on product page","Visible requirements and process information","Minimum age 26; liquid monthly rent at least $800000; good financial behavior without current moras or protestos; labor tenure 12 months dependent / 24 months independent; financing up to 90% first home; term 5-30 years","CTA may create bank lead","Stopped before simulator/application","observed_directly; inferred_from_public_copy","medium","add_to_recommendations; avoid","Age and bank thresholds should inform explanations cautiously, not core score."
"Coopeuch Crédito Hipotecario","https://www.coopeuch.cl/personas/credito-hipotecario.html","cooperative / bank","product page / request CTA","Solicitar Crédito Hipotecario","https://www.coopeuch.cl/personas/credito-hipotecario.html","Browser sweep had limited reliable content; no simulator fields captured","not observed","not observed","not observed","not observed","not observed","not observed","not observed","unknown","not observed","partial render","No reliable field data captured","No reliable threshold captured in this run","No submission attempted","Stopped due partial render / no fields","partial_due_rendering","low","no_action","Do not infer."
"Renta Nacional Mutuos Hipotecarios","https://mutuoshipotecarios.rentanacional.cl/","mutuaria / mortgage lender","public calculator + product page + contact CTA","Simula tu crédito; Estima tu cuota; Quiero ser contactado","https://mutuoshipotecarios.rentanacional.cl/","Plazo en años stepper -> renta líquida input -> Estima tu cuota -> dividend max / credit max -> Simula tu crédito or contact CTA","Plazo and renta líquida for calculator","none observed before estimate","Term controlled by +/-; contact CTA separate","Calculator result is approximate; no approval","no before calculator","no before calculator","no before calculator","after estimate/contact CTA","not before calculator","none observed","Shows dividend max and credit max as first approximation; public product guidance","Financing up to 90%; term up to 40 years; up to 6 months grace; age + term cannot exceed 76 years and 364 days for life insurance; new-home subsidy up to 4000 UF","Contact CTA creates lead","Stopped before contact CTA","observed_directly","high","add_to_score; add_to_recommendations","Strong benchmark for age-as-term and total feasibility explanations."
"CMF Educa Crédito Hipotecario","https://www.cmfchile.cl/educa/621/w3-article-27376.html","regulator/reference","educational requirements page","Simulador de Crédito Hipotecario link","https://www.cmfchile.cl/educa/600/w3-article-27376.html -> redirected to /621/w3-article-27376.html","No form; educational content lists process and documents","none","none","not applicable","not applicable","no","no","no","none","none","none","Guidance on verifying payment capacity and documents","For dependents: payslips and contract/antigüedad; independents: tax declarations; assets; complement rent requires same antecedents; subsidy for new homes up to 4000 UF","No submission","Completed public page","observed_directly","high","add_to_recommendations; avoid","Reference source for what belongs later as documentation, not initial pre-score."
"MINVU Subsidio al Crédito Hipotecario","https://www.minvu.gob.cl/nuevo-subsidio-al-credito-hipotecario/","government/reference","public subsidy education page","N/A","https://www.minvu.gob.cl/nuevo-subsidio-al-credito-hipotecario/","No form; educational subsidy page","none","none","not applicable","not applicable","no","no","no","none","none","none","Explains subsidy to reduce mortgage rate/dividend and lower down payment requirement","New homes up to 4000 UF; subsidy lowers rate by about 0.61%-1.16%; reduces down payment to 10%; example 3000/4000 UF, 30-year financing","No submission","Completed public page","observed_directly","high","add_to_recommendations","Use subsidy as recommendation/eligibility path, not repayment-capacity score boost."
